video,frame_idx,size_bytes
sample_1280x720_surfing_with_audio.flv.txt,3005,25522
sample_1280x720_surfing_with_audio.flv.txt,3017,25202
sample_1280x720_surfing_with_audio.flv.txt,3029,25174
sample_1280x720_surfing_with_audio.flv.txt,3041,25267
sample_1280x720_surfing_with_audio.flv.txt,3053,25327
sample_1280x720_surfing_with_audio.flv.txt,3065,24517
sample_1280x720_surfing_with_audio.flv.txt,3070,27439
sample_1280x720_surfing_with_audio.flv.txt,3082,26515
sample_1280x720_surfing_with_audio.flv.txt,3094,26350
sample_1280x720_surfing_with_audio.flv.txt,3106,25509
sample_1280x720_surfing_with_audio.flv.txt,3118,25633
sample_1280x720_surfing_with_audio.flv.txt,3124,26049
sample_1280x720_surfing_with_audio.flv.txt,3136,26085
sample_1280x720_surfing_with_audio.flv.txt,3148,26138
sample_1280x720_surfing_with_audio.flv.txt,3160,26122
sample_1280x720_surfing_with_audio.flv.txt,3171,29722
sample_1280x720_surfing_with_audio.flv.txt,3183,30151
sample_1280x720_surfing_with_audio.flv.txt,3195,30126
sample_1280x720_surfing_with_audio.flv.txt,3204,29148
sample_1280x720_surfing_with_audio.flv.txt,3216,28047
sample_1280x720_surfing_with_audio.flv.txt,3228,27755
sample_1280x720_surfing_with_audio.flv.txt,3240,27626
sample_1280x720_surfing_with_audio.flv.txt,3252,27508
sample_1280x720_surfing_with_audio.flv.txt,3264,27646
sample_1280x720_surfing_with_audio.flv.txt,3276,27602
sample_1280x720_surfing_with_audio.flv.txt,3288,27750
sample_1280x720_surfing_with_audio.flv.txt,3297,34451
sample_1280x720_surfing_with_audio.flv.txt,3309,34333
sample_1280x720_surfing_with_audio.flv.txt,3321,34734
sample_1280x720_surfing_with_audio.flv.txt,3333,34330
sample_1280x720_surfing_with_audio.flv.txt,3345,33577
sample_1280x720_surfing_with_audio.flv.txt,3357,33719
sample_1280x720_surfing_with_audio.flv.txt,3369,34915
sample_1280x720_surfing_with_audio.flv.txt,3373,27708
sample_1280x720_surfing_with_audio.flv.txt,3385,27854
sample_1280x720_surfing_with_audio.flv.txt,3397,28368
sample_1280x720_surfing_with_audio.flv.txt,3409,28519
sample_1280x720_surfing_with_audio.flv.txt,3421,27531
sample_1280x720_surfing_with_audio.flv.txt,3433,26722
sample_1280x720_surfing_with_audio.flv.txt,3445,26549
sample_1280x720_surfing_with_audio.flv.txt,3457,26322
sample_1280x720_surfing_with_audio.flv.txt,3469,26081
sample_1280x720_surfing_with_audio.flv.txt,3481,25752
sample_1280x720_surfing_with_audio.flv.txt,3493,25681
sample_1280x720_surfing_with_audio.flv.txt,3505,26007
sample_1280x720_surfing_with_audio.flv.txt,3517,26159
sample_1280x720_surfing_with_audio.flv.txt,3529,26154
sample_1280x720_surfing_with_audio.flv.txt,3541,26174
sample_1280x720_surfing_with_audio.flv.txt,3553,26315
sample_1280x720_surfing_with_audio.flv.txt,3561,24832
sample_1280x720_surfing_with_audio.flv.txt,3573,24967
sample_1280x720_surfing_with_audio.flv.txt,3585,24908
sample_1280x720_surfing_with_audio.flv.txt,3594,25075
sample_1280x720_surfing_with_audio.flv.txt,3606,24618
sample_1280x720_surfing_with_audio.flv.txt,3618,24746
sample_1280x720_surfing_with_audio.flv.txt,3630,24661
sample_1280x720_surfing_with_audio.flv.txt,3642,24836
sample_1280x720_surfing_with_audio.flv.txt,3654,24728
sample_1280x720_surfing_with_audio.flv.txt,3666,24575
sample_1280x720_surfing_with_audio.flv.txt,3678,24546
sample_1280x720_surfing_with_audio.flv.txt,3690,24559
sample_1280x720_surfing_with_audio.flv.txt,3702,24652
sample_1280x720_surfing_with_audio.flv.txt,3714,25049
sample_1280x720_surfing_with_audio.flv.txt,3726,25304
sample_1280x720_surfing_with_audio.flv.txt,3727,26718
sample_1280x720_surfing_with_audio.flv.txt,3739,26803
sample_1280x720_surfing_with_audio.flv.txt,3751,26406
sample_1280x720_surfing_with_audio.flv.txt,3763,26677
sample_1280x720_surfing_with_audio.flv.txt,3775,26430
sample_1280x720_surfing_with_audio.flv.txt,3781,27546
sample_1280x720_surfing_with_audio.flv.txt,3793,30159
sample_1280x720_surfing_with_audio.flv.txt,3805,27950
sample_1280x720_surfing_with_audio.flv.txt,3817,26005
sample_1280x720_surfing_with_audio.flv.txt,3829,24733
sample_1280x720_surfing_with_audio.flv.txt,3841,24719
sample_1280x720_surfing_with_audio.flv.txt,3853,26194
sample_1280x720_surfing_with_audio.flv.txt,3865,27392
sample_1280x720_surfing_with_audio.flv.txt,3877,25811
sample_1280x720_surfing_with_audio.flv.txt,3889,25848
sample_1280x720_surfing_with_audio.flv.txt,3900,27149
sample_1280x720_surfing_with_audio.flv.txt,3912,27246
sample_1280x720_surfing_with_audio.flv.txt,3924,27382
sample_1280x720_surfing_with_audio.flv.txt,3936,26961
sample_1280x720_surfing_with_audio.flv.txt,3948,26922
sample_1280x720_surfing_with_audio.flv.txt,3960,26997
sample_1280x720_surfing_with_audio.flv.txt,3972,27249
sample_1280x720_surfing_with_audio.flv.txt,3984,27388
sample_1280x720_surfing_with_audio.flv.txt,3996,24974
sample_1280x720_surfing_with_audio.flv.txt,4008,24953
sample_1280x720_surfing_with_audio.flv.txt,4020,24992
sample_1280x720_surfing_with_audio.flv.txt,4032,24970
sample_1280x720_surfing_with_audio.flv.txt,4044,24856
sample_1280x720_surfing_with_audio.flv.txt,4049,23945
sample_1280x720_surfing_with_audio.flv.txt,4061,24266
sample_1280x720_surfing_with_audio.flv.txt,4073,24481
sample_1280x720_surfing_with_audio.flv.txt,4085,24840
sample_1280x720_surfing_with_audio.flv.txt,4097,24877
sample_1280x720_surfing_with_audio.flv.txt,4109,24879
sample_1280x720_surfing_with_audio.flv.txt,4121,24831
sample_1280x720_surfing_with_audio.flv.txt,4133,24006
sample_1280x720_surfing_with_audio.flv.txt,4145,23930
sample_1280x720_surfing_with_audio.flv.txt,4157,24353
sample_1280x720_surfing_with_audio.flv.txt,4169,24368
sample_1280x720_surfing_with_audio.flv.txt,4181,24324
sample_1280x720_surfing_with_audio.flv.txt,4193,23860
sample_1280x720_surfing_with_audio.flv.txt,4205,24669
sample_1280x720_surfing_with_audio.flv.txt,4217,24803
sample_1280x720_surfing_with_audio.flv.txt,4229,24800
sample_1280x720_surfing_with_audio.flv.txt,4241,24735
sample_1280x720_surfing_with_audio.flv.txt,4253,24806
sample_1280x720_surfing_with_audio.flv.txt,4265,24830
sample_1280x720_surfing_with_audio.flv.txt,4277,24822
sample_1280x720_surfing_with_audio.flv.txt,4289,24798
sample_1280x720_surfing_with_audio.flv.txt,4301,25182
sample_1280x720_surfing_with_audio.flv.txt,4313,25075
sample_1280x720_surfing_with_audio.flv.txt,4325,24194
sample_1280x720_surfing_with_audio.flv.txt,4337,23860
sample_1280x720_surfing_with_audio.flv.txt,4349,23860
sample_1280x720_surfing_with_audio.flv.txt,4361,23860
sample_1280x720_surfing_with_audio.flv.txt,4373,23860
sample_1280x720_surfing_with_audio.flv.txt,4385,23860
