print meta info for videos/SampleVideo_720x480_10mb.mkv:
  duration time: 69.68 秒
  file size: 10.08 MB
  frame rate: 25.00 fps
  decoder: MPEG-4 part 2

帧类型与大小统计:
frame #211: size before decode=298 bytes, size after decode=737280 bytes, type=P, timestamp=7.000 seconds
frame #212: size before decode=1397 bytes, size after decode=737280 bytes, type=P, timestamp=7.040 seconds
frame #213: size before decode=1091 bytes, size after decode=737280 bytes, type=P, timestamp=7.080 seconds
frame #214: size before decode=1118 bytes, size after decode=737280 bytes, type=P, timestamp=7.120 seconds
frame #215: size before decode=1164 bytes, size after decode=737280 bytes, type=P, timestamp=7.160 seconds
frame #216: size before decode=1302 bytes, size after decode=737280 bytes, type=P, timestamp=7.200 seconds
frame #217: size before decode=1644 bytes, size after decode=737280 bytes, type=P, timestamp=7.240 seconds
frame #218: size before decode=1742 bytes, size after decode=737280 bytes, type=P, timestamp=7.280 seconds
frame #219: size before decode=1690 bytes, size after decode=737280 bytes, type=P, timestamp=7.320 seconds
frame #220: size before decode=1483 bytes, size after decode=737280 bytes, type=P, timestamp=7.360 seconds
frame #221: size before decode=1354 bytes, size after decode=737280 bytes, type=P, timestamp=7.400 seconds
frame #222: size before decode=1402 bytes, size after decode=737280 bytes, type=P, timestamp=7.440 seconds
frame #223: size before decode=1504 bytes, size after decode=737280 bytes, type=P, timestamp=7.480 seconds
frame #224: size before decode=1663 bytes, size after decode=737280 bytes, type=P, timestamp=7.520 seconds
frame #225: size before decode=1725 bytes, size after decode=737280 bytes, type=P, timestamp=7.560 seconds
frame #226: size before decode=1705 bytes, size after decode=737280 bytes, type=P, timestamp=7.600 seconds
frame #227: size before decode=1812 bytes, size after decode=737280 bytes, type=P, timestamp=7.640 seconds
frame #228: size before decode=2012 bytes, size after decode=737280 bytes, type=P, timestamp=7.680 seconds
frame #229: size before decode=2145 bytes, size after decode=737280 bytes, type=P, timestamp=7.720 seconds
frame #230: size before decode=2369 bytes, size after decode=737280 bytes, type=P, timestamp=7.760 seconds
frame #231: size before decode=2815 bytes, size after decode=737280 bytes, type=P, timestamp=7.800 seconds
frame #232: size before decode=2752 bytes, size after decode=737280 bytes, type=P, timestamp=7.840 seconds
frame #233: size before decode=3026 bytes, size after decode=737280 bytes, type=P, timestamp=7.880 seconds
frame #234: size before decode=3073 bytes, size after decode=737280 bytes, type=P, timestamp=7.920 seconds
frame #235: size before decode=2946 bytes, size after decode=737280 bytes, type=P, timestamp=7.960 seconds
frame #236: size before decode=670 bytes, size after decode=737280 bytes, type=P, timestamp=8.000 seconds
frame #237: size before decode=3199 bytes, size after decode=737280 bytes, type=P, timestamp=8.040 seconds
